RA,DEC,REDSHIFT,survey,RA_BIN,DEC_BIN,LOCAL_DENSITY,NN_DISTANCE,NN_STD,CONNECTIVITY,PERSISTENCE_INDEX,EMERGENT_GROUP,ESS
181.042430363476,-1.89804395515793,0.5022792,SDSS,181,-2,23,0.3325243141397083,0.0877984643185817,0.7504553495863304,0.7057791463910638,0,0.5244062627944239
181.250300812029,-1.93994895514998,0.5363187,SDSS,181,-2,23,0.3262818868112851,0.0920143989628377,0.7539875270439312,0.7044717405680663,0,0.5262351691817003
181.25440527635,-1.9843243878418,0.08223013,SDSS,181,-2,23,0.2314526481259805,0.0794176625996186,0.8120490881413881,0.6835906185875282,0,0.521211561274164
181.244741283597,-1.96590721061564,0.2879606,SDSS,181,-2,23,0.2257168808804993,0.0327068882069833,0.8158490884792624,0.6825657022273374,0,0.5236480518118931
181.439304420931,-1.91914210369133,0.08108766,SDSS,181,-2,23,0.2306206616303461,0.0911176067902369,0.8125980906863565,0.6833051624154413,0,0.5291770254222629
181.413597139438,-1.8684506334959,0.3803883,SDSS,181,-2,23,0.2729416610219696,0.0623491993787358,0.7855819560475059,0.6932790615227241,0,0.5340325862367921
181.402820186863,-2.01376996732073,0.3811819,SDSS,181,-3,19,0.2705763754383424,0.076199015086049,0.7870443834240229,0.6976165620870773,0,0.5303921648676231
181.529216981672,-1.89386500444669,0.08111641,SDSS,181,-2,23,0.2666443781070485,0.0882098099283091,0.789487576216508,0.6916755645947044,0,0.5357774107341176
181.488620306427,-2.02948805366451,0.2032978,SDSS,181,-3,19,0.2475637410406602,0.0708763948680828,0.8015622505715386,0.6924115719717504,0,0.5332453590306798
181.848339139795,-1.99137298004302,0.1632709,SDSS,181,-2,23,0.2748864012269137,0.0952744380997956,0.7843836117771976,0.6934667793990511,0,0.5302084238481359
181.857676928962,-2.00589675787449,0.1007167,SDSS,181,-3,19,0.2747113319075443,0.0924704795812026,0.7844913393086009,0.6984176871144977,0,0.5301393254415667
181.993890653034,-1.90593148035377,0.07092435,SDSS,181,-2,23,0.2344487407715441,0.057139203810931,0.8100781887265639,0.6844685157711734,0,0.5284793806790724
181.972957239708,-1.9153788938274,0.3232525,SDSS,181,-2,23,0.2704519099971543,0.0472067691562319,0.7871214897085242,0.6928356627374812,0,0.5337429105804472
182.380238891709,-1.9740610008102,0.4483231,SDSS,182,-2,23,0.348697198963481,0.0332821482836484,0.7414562740758515,0.7094360640905033,0,0.5352711443813826
182.568434820775,-1.8789161192691,0.2430452,SDSS,182,-2,23,0.2408155965758618,0.0696746015475199,0.8059215267438503,0.685876774725386,0,0.5162791494294469
182.710001600774,-1.90863799283226,0.1625209,SDSS,182,-2,23,0.2334887602093127,0.1134488596414501,0.8107086438552616,0.6838214346982765,0,0.5098192119494835
182.680319717077,-1.96692262357074,0.2016106,SDSS,182,-2,23,0.2296775947645866,0.1182632953145744,0.8132212900824978,0.6828778809207251,0,0.5087613145773718
182.718102122548,-1.94212236468276,0.5651234,SDSS,182,-2,23,0.4154846889000911,0.0455068197467518,0.7064717886684133,0.7219832882554298,0,0.5153161505357188
174.060890276449,-1.41017638491611,0.6269058,SDSS,174,-2,3,0.2310426984471424,0.0848269529558859,0.8123195087070632,0.7082973668385995,0,0.497674245076835
181.298635376511,-1.62131367285297,0.09594814,SDSS,181,-2,23,0.3125317546864904,0.0703829250341147,0.7618863287912289,0.7017793581946286,0,0.5331418791041869
181.33253436118,-1.50094456705314,0.07076532,SDSS,181,-2,23,0.3639563377721864,0.097992524401093,0.7331612987211502,0.7119507652170215,0,0.5335698971658198
181.562354560739,-1.60962671614784,0.1799202,SDSS,181,-2,23,0.2898193593863243,0.0597917139912944,0.7753023651899474,0.6970116421907004,0,0.5376547571844679
181.559751088507,-1.60873787222588,0.3350758,SDSS,181,-2,23,0.3109433827302293,0.0640462028992793,0.7628094494190553,0.7014930662145568,0,0.5398628129580482
181.686789454297,-1.46031969887845,0.5096057,SDSS,181,-2,23,0.3761165246138624,0.0990792265402292,0.726682647954249,0.7142831063784428,0,0.5312958786711176
182.316745547831,-1.62164685087273,0.06268921,SDSS,182,-2,23,0.2842286901560903,0.0631306390296691,0.7786775109956904,0.6957674954825591,0,0.5297795874342636
182.434373233049,-1.47213353965393,0.1114713,SDSS,182,-2,23,0.2522805077816001,0.1378740707052694,0.7985431329371149,0.6880343751913676,0,0.5162983667669336
182.455377102765,-1.47165938704316,0.1112716,SDSS,182,-2,23,0.2437157970552851,0.1377268422009532,0.8040422115467818,0.6860489115734826,0,0.5148624268816172
182.54917104158,-1.47621558448075,0.2009053,SDSS,182,-2,23,0.2333775180269519,0.0924627741309763,0.8107817642076948,0.6839512990515249,0,0.5133785073068247
182.917630500995,-1.47467770570368,0.1035981,SDSS,182,-2,23,0.2288863758987618,0.120199611389646,0.813744882856755,0.6826743119600922,0,0.4981491973153161
182.818649966393,-1.45677954595017,0.4146633,SDSS,182,-2,23,0.3229392770391822,0.027493698541307,0.7558925926200183,0.7042640026152062,0,0.51293304255698
182.98142458909,-1.56485304351901,0.08239249,SDSS,182,-2,23,0.2511739847811556,0.091259000244832,0.7992493547369524,0.6881263836830867,0,0.4986536170206241
