RA,DEC,REDSHIFT,survey,RA_BIN,DEC_BIN,LOCAL_DENSITY,NN_DISTANCE,NN_STD,CONNECTIVITY,PERSISTENCE_INDEX,EMERGENT_GROUP
90.1478678364987,1.19408543792486,0.2228697,SDSS,90,1,2,1.1509233702720767,0.3682164461628032,0.4649166092204889,0.8329296813996669,-1
89.2526487300094,1.07664128092393,0.5498869,SDSS,89,1,1,1.207252558317408,0.420720244692835,0.45305191570932035,0.8380670908451572,-1
87.5238066562298,1.07291873290275,0.2492466,SDSS,87,1,4,0.5093775519827864,0.07596376707915999,0.662524759750372,0.7612349726013883,0
86.9846152190893,1.17404007766896,0.1374329,SDSS,86,1,8,0.46022886474368285,0.11828123234642854,0.6848241560924987,0.7478951692048568,0
86.4899040197658,1.06957641173781,0.329281,SDSS,86,1,8,0.45093429967312637,0.0791679436767401,0.6892110829727334,0.7466016467197784,0
86.0549447351681,1.12946199583164,0.0505817,SDSS,86,1,8,0.45067066212158874,0.1347908662310889,0.689336336710299,0.7461421852593477,0
82.1394886402682,1.13287213880883,0.2861369,SDSS,82,1,4,0.24624533315389144,0.09795244189927652,0.8024102264594125,0.7105371482190712,0
82.0704020895901,1.09362586149845,0.2127712,SDSS,82,1,4,0.19281494701330265,0.08512878472727345,0.838353008992641,0.6976481966370859,0
82.028510297136,1.10400342592331,0.2340893,SDSS,82,1,4,0.17964333684343003,0.07596037410135605,0.8477138544908566,0.6943348361914323,0
82.138894235229,1.06307163479155,0.1051184,SDSS,82,1,4,0.2651498122783281,0.0863710771952206,0.7904202255693049,0.7149548191471481,0
81.3121678292609,1.11270532530909,0.154615,SDSS,81,1,23,0.237713443298751,0.06370336087190734,0.8079414547965177,0.6851915358326861,0
81.2452814674267,1.08102418936171,0.5890356,SDSS,81,1,23,0.34947849287104116,0.06840980042603742,0.7410270006396922,0.7093295516846889,0
81.1778075333523,1.21939638387649,0.1986111,SDSS,81,1,23,0.24356045426122414,0.06624946355515089,0.8041426507037659,0.6865449058097051,0
81.2514799253052,1.10647740399883,0.2800102,SDSS,81,1,23,0.23027139842249897,0.0766971621562471,0.8128287801230186,0.6833292113683347,0
80.9056681542697,1.06569461419576,0.3332535,SDSS,80,1,31,0.2758434996466461,0.09825518633371852,0.7837951913984411,0.6837192629170626,0
80.7204799544237,1.17875088851533,0.4926757,SDSS,80,1,31,0.2819878674035403,0.056002315342754634,0.7800385833801522,0.685390998713451,0
80.7250243092905,1.14714383248374,0.6779121,SDSS,80,1,31,0.3996732525353444,0.08499199849239066,0.7144524610930565,0.7088683177489926,0
79.9578089137973,1.17557157755151,0.1493216,SDSS,79,1,8,0.1734034351212458,0.048494629383216276,0.8522218105631092,0.687941910412464,0
79.9662277117742,1.24328375157858,0.08677593,SDSS,79,1,8,0.15826856373394205,0.04388301375452789,0.8633576281965839,0.6839534019500462,0
79.8491286626005,1.24245563862871,0.331641,SDSS,79,1,8,0.2517838473891198,0.040964628528519106,0.7988599645903145,0.7072751249644584,0
89.1786936572882,0.778381049017548,0.6422896,SDSS,89,0,2,1.135948151835204,0.39778412792011536,0.4681761582746291,0.831531973917352,-1
87.4810276609431,0.638043411211753,0.1136948,SDSS,87,0,12,0.39930488980043755,0.1291131759231154,0.7146405385195326,0.7320742967693641,0
87.545881409243,0.671736573137649,0.1494735,SDSS,87,0,12,0.4218503623678694,0.13610335525529202,0.7033088899275283,0.7361158370976578,0
87.3970168171749,0.667615530773026,0.5770968,SDSS,87,0,12,0.46993425135758926,0.06485149835460247,0.6803025367130731,0.7449575556756468,0
87.1444671715385,0.697449995178145,0.1142115,SDSS,87,0,12,0.43854714712222037,0.09135561870904399,0.6951457948392421,0.7393980094344241,0
87.0914837516824,0.715829650052541,0.5511391,SDSS,87,0,12,0.3928321882216765,0.06987921495041208,0.71796158105505,0.7313156632173721,0
86.935269345841,0.846476686989467,0.7064624,SDSS,86,0,9,0.42780851660274327,0.15411624645538954,0.7003740266092195,0.740768635558499,0
86.9123557042991,0.643412929778119,0.1160358,SDSS,86,0,9,0.5375366318835605,0.1161023467164098,0.6503910080990716,0.7591082454168073,0
86.8073341103938,0.784527230293982,0.7652942,SDSS,86,0,9,0.4489524966829632,0.15012982908006128,0.6901537505813788,0.7444904295316913,0
86.5699982564672,0.840121887185354,0.6197542,SDSS,86,0,9,0.5286010930385946,0.13655879839402732,0.6541929117767232,0.7575824601333985,0
86.1116353266908,0.64182455424233,0.2504243,SDSS,86,0,9,0.4245950375227191,0.09588329422766927,0.7019538701601382,0.740631561473932,0
85.8849696248277,0.709815687546609,0.1146805,SDSS,85,0,11,0.36170931161664355,0.09182850329558347,0.7343711256646867,0.7264664458766193,0
85.6603854970392,0.648243932098602,0.05386671,SDSS,85,0,11,0.2923592323460757,0.10134830747489641,0.7737786638353306,0.7121594526393854,0
85.7030737768616,0.672030881261745,0.05184619,SDSS,85,0,11,0.3081020951416427,0.11369278293529218,0.7644663239314811,0.7154316387413575,0
82.0386790197966,0.847177136346427,0.06774854,SDSS,82,0,2,0.2858856988085495,0.04349085522037695,0.7776740972596243,0.7223631921436438,0
81.7210894730163,0.830818856234556,0.1064974,SDSS,81,0,20,0.22281956530676858,0.06548545092911498,0.817782139222748,0.6853499938314201,0
81.8328605774899,0.78762631938326,0.1006068,SDSS,81,0,20,0.2209262118397699,0.08433635874300094,0.8190503163112011,0.6847514816783802,0
81.7321199928584,0.755927608229475,0.3627982,SDSS,81,0,20,0.23092858193671673,0.0778268297299854,0.812394816949186,0.6872042776324147,0
80.9842185675133,0.759456984891919,0.1317314,SDSS,80,0,15,0.3531390672120999,0.10555143909566392,0.7390223401503885,0.7197150433969932,0
81.0171605516399,0.73051070557937,0.08550129,SDSS,81,0,20,0.3463042793763841,0.10445494252995198,0.7427741375547032,0.7121566796782968,0
80.6121152837623,0.643241136215495,0.3659964,SDSS,80,0,15,0.2877399335846344,0.06596343340406895,0.7765543134290607,0.706451300423501,0
