void_id,ra_deg,dec_deg,z,r_eff_mpc,source_catalog,vizier_catalog
6592,252.685,22.767,0.639,90.445,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
183,124.736,50.678,0.541,44.222,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
11120,148.954,3.777,0.549,62.812,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
11874,216.047,5.596,0.485,43.094,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
15443,229.5,8.74,0.501,60.907,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
22068,201.862,42.563,0.493,67.133,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
8549,116.446,32.966,0.463,33.558,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
15007,130.0,8.477,0.656,73.483,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
19657,165.409,27.681,0.51,57.652,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
14029,133.266,27.948,0.581,63.583,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
14952,156.026,10.62,0.594,63.855,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
12141,135.558,7.161,0.502,37.879,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
19858,161.724,27.14,0.613,59.747,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
12888,258.606,26.804,0.501,46.818,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
9889,145.501,37.344,0.518,46.611,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
1303,138.03,0.668,0.629,68.053,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
1047,129.253,39.992,0.538,31.65,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
4726,224.168,0.044,0.452,36.362,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
22164,202.995,49.504,0.54,75.776,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
8608,119.234,18.416,0.458,48.369,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
11043,157.531,6.621,0.482,80.25,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
7585,125.859,26.988,0.492,67.013,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
20037,209.13,40.286,0.489,31.885,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
11474,233.432,5.898,0.638,55.827,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
17643,218.915,25.226,0.462,56.555,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
276,118.041,47.108,0.489,55.279,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
16215,182.411,9.682,0.461,49.788,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
148,121.032,47.634,0.654,74.792,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
1364,173.77,1.587,0.497,73.25,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
