idx,void_id,void_ra_deg,void_dec_deg,void_z,r_eff_mpc,theta_void_deg,n_center,n_edge,n_total_RM,center_abs_RM_mean,edge_abs_RM_mean,center_abs_RM_median,edge_abs_RM_median,center_RM_mad,edge_RM_mad,LRI_abs,LRI_mad,PVGU_VOID_RM_index,agn_count_0.5R,agn_z_median_0.5R,agn_count_1.0R,agn_z_median_1.0R,agn_count_1.5R,agn_z_median_1.5R,agn_count_2.0R,agn_z_median_2.0R,agn_count_3.0R,agn_z_median_3.0R,agn_inner_count_0.5_1.0R,agn_shell_count_0.5_1.0R,agn_inner_density_0.5_1.0R,agn_shell_density_0.5_1.0R,agn_shell_contrast_0.5_1.0R,agn_inner_count_1.0_1.5R,agn_shell_count_1.0_1.5R,agn_inner_density_1.0_1.5R,agn_shell_density_1.0_1.5R,agn_shell_contrast_1.0_1.5R,agn_inner_count_1.0_2.0R,agn_shell_count_1.0_2.0R,agn_inner_density_1.0_2.0R,agn_shell_density_1.0_2.0R,agn_shell_contrast_1.0_2.0R,agn_inner_count_1.5_3.0R,agn_shell_count_1.5_3.0R,agn_inner_density_1.5_3.0R,agn_shell_density_1.5_3.0R,agn_shell_contrast_1.5_3.0R,agn_large_count_2.0R,agn_large_density_2.0R,agn_large_count_3.0R,agn_large_density_3.0R,agn_large_count_5.0R,agn_large_density_5.0R,agn_large_count_8.0R,agn_large_density_8.0R,agn_weight_near_0.5R,agn_weight_far_0.5R,agn_weight_zmatch005_0.5R,agn_weight_zmatch010_0.5R,agn_weight_near_1.0R,agn_weight_far_1.0R,agn_weight_zmatch005_1.0R,agn_weight_zmatch010_1.0R,agn_weight_near_1.5R,agn_weight_far_1.5R,agn_weight_zmatch005_1.5R,agn_weight_zmatch010_1.5R,agn_weight_near_2.0R,agn_weight_far_2.0R,agn_weight_zmatch005_2.0R,agn_weight_zmatch010_2.0R,agn_weight_near_3.0R,agn_weight_far_3.0R,agn_weight_zmatch005_3.0R,agn_weight_zmatch010_3.0R,void_nn1_angle_deg,void_nn5_mean_angle_deg,void_nn10_mean_angle_deg,void_isolation_index,void_network_count_3R_dz0.02,void_network_weight_3R_dz0.02,void_network_count_3R_dz0.05,void_network_weight_3R_dz0.05,void_network_count_3R_dz0.1,void_network_weight_3R_dz0.1,PVGU_residual,nearest_neighbor_deg,MRI,TRME_DOMAIN,GPS
189,15046,169.489,15.168,0.463,60.487,1.748879622639738,3,9,12,8.066666666666668,16.02777777777778,9.0,17.3,0.1482599999999994,12.67623,0.3304127276919392,0.9768786127166872,0.556675787450601,115,1.894,471,2.004,1087,1.87,1817,1.818,3900,1.838,115,356,47.872722237426665,49.399098888475045,0.0156918687589156,471,616,49.01750472571295,51.286255475225765,0.022618800581033,471,1346,49.01750472571295,46.693249370707456,-0.0242841609278721,1087,2813,50.27792180877563,43.37068201413243,-0.0737569970365484,1817,47.27431320945883,3900,45.09749196279323,11629,48.40972929556824,30584,49.73299378089188,49.12218961744588,195.813,2.454451581998068,5.263186097171661,196.7893489119984,841.021,13.809049514191194,25.16121123798669,463.1288443744109,1854.737,31.648112219159582,59.52918838997856,779.4075244444568,3073.597,49.11968850098377,95.63110990994528,1691.9207834518302,6597.243,105.2563390303904,204.6941722230593,3.470551373973988,4.7737464165265004,5.422343945552046,2.729602629435601,3,0.0261727341314997,3,0.335490833178947,3,0.939266057430855,0.4969814520353445,3.5017031570365864,0.6435668477967456,TRME_CORE,0.2892938307933209
208,4204,235.911,25.675,0.512,54.384,1.4219360000362646,4,7,11,17.125,13.028571428571428,17.75,10.900000000000002,3.1134599999999995,16.753379999999996,-0.135852185242208,0.6865671641790699,0.1519945870552392,68,1.736,299,1.9425,657,1.78,1193,1.744,2762,1.737,68,231,42.82120970616702,48.488722755512654,0.0620689655172407,299,358,47.07184449317624,45.08821492590529,-0.02152374444824,299,894,47.07184449317624,46.91441357513887,-0.0016750418760468,657,2105,45.9698280669146,49.09512332869368,0.0328753680078505,1193,46.95377130464821,2762,48.31379951324891,8222,51.77588032413313,25200,61.98842397721788,30.3069801031268,112.2,1.3540565838182606,3.070889133277938,126.91473615051392,525.19,7.133489098185782,14.656105732016645,283.66274347636374,1118.911,21.93085836430988,40.29812176050547,523.7858540012354,1996.578,36.273105507217466,69.4788795485568,1209.201974722747,4595.851000000001,82.46389361744394,160.03547819739364,5.255151353297857,6.582021869201182,7.748744279383627,4.628915695944604,0,0.0,0,0.0,0,0.0,0.0923002516399827,5.336783488207103,0.6684228710762199,TRME_CORE,0.5249493882269226
210,15737,132.568,17.375,0.509,40.824,1.0736843833621323,3,3,6,16.266666666666666,30.83333333333333,14.8,30.8,13.195140000000002,41.661060000000006,0.3092710544939779,0.5189189189189094,0.3826478070427039,81,1.404,376,1.494,811,1.529,1327,1.5945,2635,1.618,81,295,89.46267190787952,108.60694737787844,0.0966542750929363,376,435,103.8208785103787,96.08953649364838,-0.038674033149171,376,951,103.8208785103787,87.52983640369695,-0.0851370851370846,811,1824,99.52568850108408,74.61358644717525,-0.1430584918957003,1327,91.60259693036738,2635,80.84161196065246,6207,68.55491413977879,14391,62.08802620690077,35.95706585506888,123.343,2.539255339611505,4.870600090467611,162.39125728676754,574.368,8.180835283739787,16.67092892086712,343.13259359033555,1264.879,16.080805998399,33.20843857823871,555.8418442639161,2127.6760000000004,28.896889780448724,56.36354629725392,1103.190480496633,4278.787,58.04197334630936,113.4920881627442,2.3902707176823577,5.050261576569102,6.211134927594705,4.703674240608793,1,0.0017467471362611,1,0.0788663997906749,1,0.2808316217783798,0.3229534716274475,2.5027698655689354,0.6619987928543759,TRME_CORE,0.3995229646762624
237,15010,133.225,7.341,0.513,37.777,0.9858003418892493,4,3,7,45.625,28.4,43.85,27.9,11.786670000000004,32.76546,-0.2326916582235699,0.4708818635607213,0.0135590744009319,37,1.835,145,1.89,322,1.9215,597,1.851,1351,1.797,37,108,48.4767966418508,47.16661294882781,-0.0136986301369861,145,177,47.49415887208355,46.38050273301401,-0.0118632240055825,145,452,47.49415887208355,49.350252437199465,0.0191657271702365,322,1029,46.87546101704492,49.93255630076524,0.0315789473684207,597,48.88622904592049,1351,49.16828247983516,4278,56.04965838752373,11974,61.28179507913023,16.1392338917345,60.95,1.925800179344536,3.4763749178439265,63.56204602091553,249.991,5.908128276227881,10.60266211661896,135.74175129862277,562.6279999999999,9.470201408252231,18.69923169986494,254.03198450460903,1019.238,20.772100773834943,39.1868855033472,574.4426681247907,2309.896,43.555341350432045,83.50142753892412,3.894157748128477,5.066577033914783,6.259569233163437,5.1395569859508665,0,0.0,0,0.0,0,0.0,-0.0461352610143245,3.902093412515903,0.6368145232649003,TRME_CORE,0.5466199134311311
259,3606,206.866,36.398,0.605,58.982,1.3050975775239906,4,6,10,15.475,10.55,10.05,9.4,7.931909999999999,9.11799,-0.1892411143131532,0.0695652173913003,-0.0986588982165945,158,1.337,711,1.572,1621,1.575,2903,1.57,6008,1.577,158,553,118.10852299843718,137.79327683151004,0.0769230769230766,711,910,132.8720883732418,136.04905813744026,0.0118137595552465,711,2192,132.8720883732418,136.54740633574596,0.0136416184971099,1621,4387,134.63707157557428,121.45853033149174,-0.0514594594594592,2903,135.6285768451199,6008,124.7531656425124,15439,115.40996750461214,39633,115.72871568426277,70.2437944276952,232.044,3.991381943785936,8.770659233148972,297.43817617792024,1152.342,10.058981311798863,24.58664544435139,678.6710214528732,2628.594,32.08166282164167,71.30136686768523,1220.0279628664457,4681.871,69.8349388284822,143.67319356555487,2533.068546407289,9659.261,133.89572209121965,282.4113024326314,5.834512529682264,6.836467182736676,7.739189247136627,5.238280493709497,0,0.0,0,0.0,0,0.0,-0.1583532336318509,6.452861768238952,0.659965339605475,TRME_CORE,0.462679769745268
279,13055,236.789,33.413,0.652,77.758,1.596527300390694,3,11,14,16.733333333333334,27.33636363636364,14.8,18.7,25.2042,20.31162,0.2405968507185532,-0.107491856677522,0.1187658031299269,140,1.5835,653,1.708,1709,1.69,3254,1.665,7140,1.63,140,513,69.93353084151369,85.41881267070599,0.0996784565916391,653,1056,81.54749221340792,105.49972652662636,0.1280544799038582,653,2601,81.54749221340792,108.27209149927208,0.1407894736842097,1709,5431,94.85428905408484,100.478573015942,0.0287933320704676,3254,101.59094167780604,7140,99.07250202547772,18731,93.56606901374236,49944,97.45424844722544,60.91583895324597,226.902,4.981792688243415,10.025286302223142,268.57557111643183,1124.706,10.522059063221176,25.665421781494373,706.3871761432282,2898.2340000000004,36.7887005838887,78.17774649369993,1356.423371255536,5391.542,75.33419364430083,158.05612462127476,3009.4224328700825,11662.781,170.36590704402977,353.3977453827811,4.901049559444935,5.928447544470879,7.317783620030539,3.7133392852201066,0,0.0,0,0.0,0,0.0,0.0590714677146704,5.380979929343722,0.6315133714604635,TRME_CORE,0.3255540801065572
312,3521,197.98,37.565,0.506,48.418,1.2809588916480827,3,5,8,4.499999999999999,12.58,5.199999999999999,8.799999999999999,2.9652,10.08168,0.473067915690839,0.5454545454545038,0.4984032361081217,155,1.4875,706,1.5105,1594,1.527,2789,1.5345,5988,1.555,155,551,120.27391048937524,142.51811759063605,0.0846456692913382,706,888,136.95706581532085,137.81062259943897,0.0031064670996892,706,2083,136.95706581532085,134.69384706955304,-0.0083313496786478,1594,4394,137.4312640287198,126.28042119242886,-0.0422842197035743,2789,135.259651755995,5988,129.0681319015016,16391,127.18772044073224,41111,124.61140963025971,67.73355608894806,233.064,4.463930803866074,8.206380992195445,300.5813592960438,1087.153,15.18943532758482,29.26508121758307,679.4326970145338,2477.107,34.354615629403625,65.99753489114654,1179.3856170289805,4409.468000000001,60.326153455347445,112.65729819169134,2521.843577537314,9545.937000000002,130.57046405292866,246.4549913575788,1.0602641185788826,5.527915167669277,7.032951665772861,4.315450873331884,1,0.1002588437228037,1,0.3985190410845143,1,0.6312836455069261,0.4387089006928653,1.0616534274423108,0.6437685538568845,TRME_CORE,0.2113419300105754
530,3421,226.2,29.496,0.533,48.149,1.2093135697144537,4,13,17,21.7,19.21538461538461,21.45,20.8,4.225410000000002,12.15732,-0.0607257003196073,0.484162895927572,0.1299853083669054,54,1.474,242,1.655,624,1.747,1170,1.7225,2640,1.7240000000000002,54,188,47.01387261028359,54.559308955143926,0.0742857142857136,242,382,52.672949868928846,66.51592347084566,0.1161431701972231,242,928,52.672949868928846,67.3285089233691,0.1221281741233363,624,2016,60.36349075888264,65.00683620187361,0.0370370370370367,1170,63.66461915975904,2640,63.84599984112587,7150,62.24984984509773,22779,77.46882264103371,26.063500223334,80.207,1.7097255434335192,3.1636178848198084,110.85188402238956,382.864,8.397127546126436,16.469532196927883,267.1656198002868,1058.683,19.777179630196187,36.12202445263884,497.4964776028261,1993.256,33.844068018818966,63.1570649009814,1137.8672681820733,4432.5560000000005,69.29705152324898,139.5895513031403,1.599836700672811,6.6698022041102565,7.969999019394511,5.51536207906741,1,0.0273237224472926,1,0.2369277586821219,1,0.4867522559599719,0.0702909729516489,1.7474398415968555,0.6308984242437563,TRME_CORE,0.4423106000273933
569,2567,134.088,1.446,0.535,46.205,1.156149660407882,3,4,7,15.266666666666667,20.975,14.4,18.85,1.186080000000001,11.71254,0.1575074729822904,0.8160919540229252,0.3880120413465125,153,1.363,474,1.325,1035,1.319,1762,1.285,3789,1.267,153,321,145.73821216571358,101.92149478255784,-0.1769230769230763,474,561,112.8756741283468,106.8746889215233,-0.0273081924577371,474,1288,112.8756741283468,102.23900722736332,-0.0494464944649444,1035,2754,109.5417934578893,97.15880811047572,-0.0599078341013821,1762,104.8981739526092,3789,100.25455444732911,8374,79.76547638403171,15220,56.63132121022673,72.09649352413629,206.194,7.510697899066002,14.581209328457826,226.85551205287737,641.703,20.638373461422265,42.07055405419789,485.0213253715554,1426.149,47.69195364834611,92.92299662540916,824.0978866939613,2418.127,72.66714976676408,145.02977725697306,1777.755801881341,5164.4220000000005,159.0598845573648,317.5911044749139,4.017352237851367,5.913096722490758,7.627236773500407,5.114473432790303,0,0.0,0,0.0,0,0.0,0.3283177059312561,4.018040318364195,0.7023332629098408,TRME_CORE,0.4474884482318298
579,7249,125.594,35.303,0.656,67.305,1.3734800405060426,3,8,11,5.833333333333333,16.6375,3.1,13.25,3.7065,18.23598,0.4808084554051335,0.6621621621621321,0.544282252770083,200,1.576,857,1.592,1796,1.5845,3265,1.597,7127,1.616,200,657,134.98807654114609,147.81194381255497,0.0453460620525058,857,939,144.60597699470276,126.75380387213626,-0.0657878373336644,857,2408,144.60597699470276,135.43803679628326,-0.0327374974894555,1796,5331,134.68810303772136,133.2632288964537,-0.0053176602294989,3265,137.73002184588813,7127,133.61944743177062,18317,123.62882990020866,45208,119.1902532084401,83.08589410803832,326.456,7.762861280810755,12.765516260664429,354.09748362527495,1415.507,19.326049430754978,39.53164475298805,750.7355115995936,2914.526,36.51904174574032,81.5557276064607,1367.1377019314568,5271.473,69.70883857849114,154.91246349680273,2968.781914235005,11624.328,152.29479114844122,329.56143766820827,3.174948038817757,6.037936427261309,7.300755737647866,4.396086036337525,1,5.545159943217695e-05,1,0.0198410947443702,1,0.140858420921045,0.4845879173548266,3.1922633036765657,0.6899368941343883,TRME_CORE,0.2676365141118055
