void_id,r_norm,abs_RM_res,RM_res
17574,0.4451334749943106,15.899999999999999,-15.899999999999999
17574,1.0185554738452578,11.400000000000002,11.400000000000002
17574,1.180376250354833,29.4,-29.4
15558,1.081009022314807,16.9,-16.9
15558,1.0238563089893213,2.1999999999999993,2.1999999999999993
15558,0.5868412432342947,26.5,26.5
15558,0.7837536181192526,38.5,38.5
15558,0.5227823398060633,1.5,1.5
15558,0.4494421370626947,24.4,24.4
15558,0.7749060442096429,34.2,-34.2
15558,0.7684330702223093,27.7,-27.7
15558,0.16817197894087219,15.5,15.5
15558,0.8833108561429567,20.8,-20.8
15558,0.9797328083439552,9.5,-9.5
15558,0.8773794684559268,14.2,-14.2
15558,0.48667195537596086,3.5999999999999996,-3.5999999999999996
15558,0.38045205600566706,12.7,-12.7
15558,0.46873286556764104,1.5,1.5
15558,1.0252883585630592,8.3,8.3
15558,0.8563000430283976,7.800000000000001,-7.800000000000001
15558,1.0729203457083403,52.900000000000006,52.900000000000006
12374,0.9719513472932624,2.3999999999999995,2.3999999999999995
12374,1.1586261359027314,35.8,35.8
12374,0.5776760006875314,21.4,-21.4
12374,0.020955402816399078,5.8,5.8
12374,0.8975790516176883,0.09999999999999964,0.09999999999999964
12374,0.21030850013155306,10.600000000000001,10.600000000000001
12374,0.5789502498473702,26.5,26.5
12374,0.5495502698690136,15.2,-15.2
12374,0.4751518060758441,19.7,19.7
12374,1.1022399266486007,10.7,10.7
12374,0.4028168525076342,22.6,22.6
12374,0.734799053784172,10.3,10.3
12374,1.222834355252337,28.2,28.2
12374,0.7385777010938324,21.6,21.6
12374,0.9015353418297499,5.8999999999999995,5.8999999999999995
12374,0.6113791878778212,5.1000000000000005,5.1000000000000005
12374,0.9852659032786103,6.9,-6.9
12374,0.9928667698058186,2.9000000000000004,-2.9000000000000004
12374,1.1105919115695233,7.9,-7.9
4403,1.1670505880347888,17.8,17.8
4403,0.5753010813533813,4.199999999999999,4.199999999999999
4403,0.6260889303975004,19.8,19.8
4403,0.9782977830088389,21.099999999999998,21.099999999999998
4403,0.8223141671475604,23.2,23.2
4403,0.34149094103433014,11.099999999999998,11.099999999999998
4403,0.9463599270467622,27.3,27.3
4403,0.443155020256807,13.900000000000002,13.900000000000002
4403,0.8856646559685534,27.599999999999998,27.599999999999998
4403,0.8923839061574949,8.799999999999999,-8.799999999999999
4403,0.14643313839013838,8.900000000000002,8.900000000000002
9778,1.0815784404012334,3.5999999999999996,3.5999999999999996
9778,1.2210475654389477,27.2,27.2
9778,1.1817215852834468,9.8,-9.8
9778,0.740578371789126,25.2,25.2
9778,0.8331303384956534,15.3,15.3
9778,0.8983253860631204,1.5,1.5
9778,0.8230357468718957,5.599999999999998,5.599999999999998
9778,0.719513925865536,3.6999999999999993,3.6999999999999993
9778,0.7234361691303699,14.7,14.7
9778,0.8554599785740002,0.6999999999999993,0.6999999999999993
9778,0.8274569514497698,3.3000000000000007,-3.3000000000000007
9778,0.4982253107444929,6.800000000000001,6.800000000000001
9778,0.2387308875828358,10.9,-10.9
9778,0.4017724621603397,26.0,-26.0
9778,0.4154429203977556,6.800000000000001,6.800000000000001
9778,0.9645687403061419,18.4,18.4
9778,0.975722657918211,29.599999999999998,29.599999999999998
9778,0.80799342951828,9.5,-9.5
9778,1.110873481798566,0.5,0.5
4457,1.1011845385380923,8.55,-8.55
4457,1.1095033078714414,8.25,-8.25
4457,0.8240308630211501,4.949999999999999,-4.949999999999999
4457,0.6052436446216779,0.9499999999999993,0.9499999999999993
4457,0.5409691454243988,7.35,-7.35
4457,0.10054794137412702,15.649999999999999,15.649999999999999
4457,1.0580225877206941,20.95,-20.95
4457,1.1838052001300308,8.45,-8.45
4457,0.30670001460780677,4.75,-4.75
4457,0.3888945055096564,15.850000000000001,15.850000000000001
4457,0.8280794441769057,36.25,36.25
4457,0.6878599749885077,15.15,-15.15
4457,0.989061505809045,9.75,-9.75
4457,0.9804928182624183,8.25,-8.25
12573,1.0772311914988695,7.5,7.5
12573,1.2045950891185302,14.3,-14.3
12573,0.6690770012198305,16.099999999999998,-16.099999999999998
12573,0.6080191891059389,32.0,-32.0
12573,0.550750040633939,6.3,6.3
12573,0.7685354569683073,23.900000000000002,-23.900000000000002
12573,0.5470030141023828,9.3,-9.3
12573,0.6128411186522932,5.3,5.3
12573,0.6433972281607954,13.3,13.3
12573,0.2590423403953172,51.099999999999994,51.099999999999994
12573,0.6721590741264682,20.2,-20.2
12573,0.3010315857697221,16.3,-16.3
