idx,void_id,void_ra_deg,void_dec_deg,void_z,r_eff_mpc,theta_void_deg,n_center,n_edge,n_total_RM,center_abs_RM_mean,edge_abs_RM_mean,center_abs_RM_median,edge_abs_RM_median,center_RM_mad,edge_RM_mad,LRI_abs,LRI_mad,PVGU_VOID_RM_index
105,276,118.041,47.108,0.489,55.279,1.5133179460770971,4,14,18,8.024999999999999,13.642857142857144,7.85,11.25,8.8956,8.673210000000001,0.2592714686006145,-0.012658227848100488,0.16409607484356428
108,1364,173.77,1.587,0.497,73.25,1.9730137128064087,5,12,17,8.879999999999999,19.88333333333333,11.3,9.899999999999999,10.22994,18.087719999999997,0.3825472244755922,0.2774869109947546,0.345776114757299
111,18352,198.503,18.908,0.469,70.718,2.0185336347000757,5,19,24,17.0,15.207894736842105,8.0,17.15,6.078659999999999,18.5325,-0.05564180080071728,0.5060240963855217,0.14094126321446637
112,6272,247.836,14.921,0.6,84.092,1.8762136646472425,4,5,9,4.975,14.11,4.449999999999999,15.2,2.298030000000001,5.559750000000005,0.4786481529997129,0.41509433962258885,0.45640431831771955
115,9662,197.892,38.623,0.46,60.32,1.7554253455044317,4,7,11,4.075,15.157142857142857,4.5,7.6,3.7806300000000004,18.38424,0.5762302692664509,0.6588628762541509,0.605151681712146
116,15329,219.24,9.03,0.571,80.181,1.8798111597698963,5,16,21,8.6,13.778125,6.300000000000001,13.200000000000001,11.71254,16.568055,0.23139226365031787,0.17169069462646838,0.21049671449197055
122,11881,140.807,5.285,0.638,80.672,1.692703953973932,5,8,13,6.82,22.300000000000004,4.7,17.1,6.22692,19.05141,0.5315934065933884,0.5073313782991002,0.5231016966903875
123,19612,201.267,28.931,0.644,87.078,1.810095304043138,4,9,13,14.8,19.633333333333333,14.7,17.799999999999997,14.158829999999998,4.596059999999997,0.14036786060018946,-0.5098814229248742,-0.08721938863358279
124,21507,150.881,57.13,0.54,104.931,2.601290861927674,9,28,37,10.633333333333333,13.396428571428572,9.2,10.799999999999999,16.456860000000002,15.122519999999998,0.11498637602179364,-0.04225352112675937,0.05995241201980009
126,14901,144.727,8.356,0.638,91.289,1.9154756452589035,3,14,17,17.43333333333333,19.76428571428571,7.3,12.299999999999999,21.645959999999995,16.234469999999998,0.06266402099468558,-0.14285714285713905,-0.009268386353453034
127,19724,149.915,27.741,0.647,92.325,1.9102662336395604,5,19,24,36.42,18.53157894736842,18.499999999999996,14.399999999999999,29.355479999999993,22.83204,-0.325530610681168,-0.1249999999999975,-0.2553448969427583
129,19870,183.948,28.562,0.659,68.091,1.3831942063255316,4,5,9,14.950000000000001,7.0600000000000005,16.5,7.0,8.450820000000002,9.19212,-0.3584734211721782,0.04201680672268653,-0.21830184140897552
131,15591,194.637,15.129,0.463,60.362,1.7452654583923797,3,10,13,12.399999999999999,18.419999999999998,11.7,14.95,2.6686799999999984,10.081679999999999,0.19532770927968218,0.5813953488371638,0.3304513831248007
133,881,117.451,34.652,0.648,62.119,1.2833003517556394,3,10,13,8.4,10.709999999999999,6.0,8.65,15.122519999999998,14.45535,0.1208791208791145,-0.022556390977442806,0.07067669172931944
134,20222,213.085,62.581,0.461,51.93,1.5079823575903484,3,7,10,22.2,18.257142857142856,28.4,14.5,1.4826,11.564279999999998,-0.09745762711864166,0.7727272727272135,0.20710708782740767
139,18662,240.112,42.18,0.505,73.631,1.951857842753662,3,12,15,13.333333333333334,16.349999999999998,15.0,16.5,4.151280000000001,24.462899999999998,0.10162829870858718,0.7098445595854674,0.3145039900154952
140,141,125.875,51.482,0.497,61.465,1.6555807216060876,5,10,15,11.82,13.959999999999997,12.7,9.8,4.0030199999999985,16.975769999999997,0.08301008533746758,0.6183745583038575,0.27038765087570404
141,18756,250.239,47.198,0.622,77.773,1.6738530591966492,5,8,13,15.539999999999997,6.462500000000001,10.599999999999998,3.600000000000001,14.974259999999996,4.744319999999998,-0.412566753777961,-0.5187969924811767,-0.4497473373240865
142,7200,118.085,32.017,0.658,57.753,1.1749720031741056,3,5,8,11.066666666666668,26.46,11.8,20.3,16.012079999999994,8.8956,0.41019719310711283,-0.2857142857142741,0.16662817551962744
145,22148,199.378,44.418,0.643,94.659,1.9707421378064491,4,17,21,25.675,13.447058823529412,26.25,11.200000000000001,27.20571,16.3086,-0.31255873397736295,-0.2504258943781885,-0.2908122401176519
149,18175,204.721,23.855,0.582,65.62,1.5093574572247095,3,9,12,14.65,18.655555555555555,12.65,14.55,4.744320000000001,20.0151,0.12026688907422488,0.6167664670658433,0.2940417413712913
164,13703,227.372,37.616,0.573,52.96,1.237292036915415,3,7,10,22.03333333333333,16.371428571428574,24.5,18.2,13.046879999999994,23.721599999999995,-0.1474271543707338,0.2903225806451535,0.00578525288482673
168,12591,243.297,26.857,0.561,57.503,1.3721655294037567,4,8,12,10.399999999999999,12.9375,9.899999999999999,12.049999999999999,6.004530000000001,16.679250000000003,0.1087305838243125,0.47058823529409693,0.23538076183873707
171,2235,147.461,-0.633,0.495,42.408,1.1468891803978079,3,6,9,21.066666666666666,15.15,23.0,15.899999999999999,10.3782,12.08319,-0.1633686148182191,0.07590759075907255,-0.07962194286616703
182,5285,227.787,0.513,0.653,41.409,0.8489076061088383,4,4,8,13.274999999999999,10.7,12.75,9.475,14.307089999999997,2.4092249999999993,-0.10740354535974525,-0.7117516629711328,-0.31892538652373087
185,21616,176.092,54.264,0.651,76.99,1.583186924757098,3,10,13,13.616666666666667,17.44,14.75,13.75,5.1891,15.048389999999998,0.12310829666201173,0.4871794871794631,0.25053321334311973
187,14673,171.889,9.053,0.632,99.712,2.112074399180936,3,19,22,6.583333333333333,14.189473684210528,7.1499999999999995,10.85,5.48562,16.08621,0.3661585237109744,0.491408934707881,0.4099961675598917
189,15046,169.489,15.168,0.463,60.487,1.748879622639738,3,9,12,8.066666666666668,16.02777777777778,9.0,17.3,0.14825999999999948,12.67623,0.3304127276919392,0.9768786127166871,0.556675787450601
195,15511,215.893,13.208,0.525,56.378,1.4375707420509813,3,8,11,14.233333333333334,15.85,13.2,10.65,7.412999999999999,17.7912,0.05373961218836382,0.4117647058823366,0.17904839498125427
202,19841,150.344,22.694,0.576,71.77,1.6680125972116429,3,4,7,7.1000000000000005,7.8,9.0,7.299999999999999,0.7413,10.822979999999998,0.046979865771808876,0.8717948717947962,0.3356651178798544
203,21589,174.212,49.094,0.538,64.003,1.5925640899905358,5,9,14,21.03,33.74444444444444,20.400000000000002,19.55,12.157320000000004,35.804790000000004,0.2321236586404809,0.4930448222565583,0.32344606590610797
205,15951,152.581,14.419,0.641,93.318,1.9488851942065613,6,14,20,15.949999999999998,16.57857142857143,13.2,14.350000000000001,9.859289999999998,14.751869999999998,0.019323671497584044,0.19879518072288355,0.08213869972643886
208,4204,235.911,25.675,0.512,54.384,1.4219360000362646,4,7,11,17.125,13.028571428571428,17.75,10.900000000000002,3.1134599999999995,16.753379999999996,-0.135852185242208,0.6865671641790699,0.15199458705523927
