RA,DEC,REDSHIFT,survey,RA_BIN,DEC_BIN,LOCAL_DENSITY
119.990000712314,0.535360763913692,0.619608,SDSS,119,0,55
119.931668695711,0.550292061228179,0.798898,SDSS,119,0,55
119.89804977451,0.477721185013766,0.630503,SDSS,119,0,55
119.839006864114,0.440883406901704,0.360463,SDSS,119,0,55
119.864533501744,0.577223096875309,0.09494595,SDSS,119,0,55
119.694866005115,0.525656056705753,0.1706965,SDSS,119,0,55
119.564191902139,0.432338863796842,0.4828095,SDSS,119,0,55
121.416602666231,0.00752503224755967,0.6230686,SDSS,121,0,105
121.379777268967,0.107399676745629,0.4434872,SDSS,121,0,105
121.504814286864,0.0823159614083446,0.503435,SDSS,121,0,105
121.395747990018,0.0279663489862158,0.6587305,SDSS,121,0,105
121.143647599386,-0.0101566472462072,0.5352152,SDSS,121,-1,35
120.990593625471,0.0931302436060718,0.5921348,SDSS,120,0,100
121.013572502907,0.167478763061497,0.7161805,SDSS,121,0,105
120.844585366655,0.1664149091624,0.2874291,SDSS,120,0,100
120.775397620742,0.086995756299684,0.5231743,SDSS,120,0,100
120.62275557583,0.034581328107366,0.53583,SDSS,120,0,100
120.704521382841,0.0838078592915626,0.4246244,SDSS,120,0,100
120.482651511538,0.0977910229984049,0.6898443,SDSS,120,0,100
120.555520817179,0.116830453658565,0.5360788,SDSS,120,0,100
120.473467676691,0.00891433935370561,0.7465649,SDSS,120,0,100
120.555914095647,0.0293277120284477,0.7473037,SDSS,120,0,100
120.417786079503,0.159615181702287,0.3363734,SDSS,120,0,100
120.38171055369,0.162519067194654,0.6876821,SDSS,120,0,100
120.368038886503,0.0542799911255484,0.582999,SDSS,120,0,100
120.356400156122,0.149402572031375,0.5799935,SDSS,120,0,100
120.350945554788,0.0422486385998379,0.5426958,SDSS,120,0,100
120.230889475619,0.0967110891523964,0.5944148,SDSS,120,0,100
120.284612992167,0.127385711181052,0.3921863,SDSS,120,0,100
120.232778900624,0.124286026367288,0.6831146,SDSS,120,0,100
120.196148145048,0.0724671956797223,0.5956787,SDSS,120,0,100
120.280460639729,0.149922207921935,0.2840815,SDSS,120,0,100
119.786241616408,0.1126468786388,0.4094536,SDSS,119,0,55
119.808893128263,0.0774954861609249,0.3955868,SDSS,119,0,55
119.764703471223,0.137583052563322,0.2409147,SDSS,119,0,55
119.747732532859,0.0250188466910574,0.5753962,SDSS,119,0,55
119.687161600103,0.064865533827031,0.4689507,SDSS,119,0,55
119.660849519492,0.0621217517578629,0.5741645,SDSS,119,0,55
119.608386191499,0.123736103121339,0.3515945,SDSS,119,0,55
119.583833229691,0.0441886564098275,0.3107962,SDSS,119,0,55
119.527763598378,0.12891125849904,0.4843206,SDSS,119,0,55
121.90356833488,-0.268138063407872,0.2178683,SDSS,121,-1,35
121.403601660713,-0.297655774931697,0.4871793,SDSS,121,-1,35
121.297510473899,-0.283448158369323,0.6206515,SDSS,121,-1,35
121.217854287816,-0.360682473930254,0.4688964,SDSS,121,-1,35
120.999021743501,-0.258646642339193,0.3551003,SDSS,120,-1,55
120.968135400798,-0.275893125987503,0.353137,SDSS,120,-1,55
120.909135799145,-0.306398275441716,0.5128763,SDSS,120,-1,55
120.890329549083,-0.290543763854386,0.552299,SDSS,120,-1,55
120.858340476471,-0.257633452703771,0.5290349,SDSS,120,-1,55
120.836519805264,-0.386946454673693,0.612662,SDSS,120,-1,55
120.766385615964,-0.3702756458228,0.5521699,SDSS,120,-1,55
120.710611315256,-0.256383295342302,0.5791053,SDSS,120,-1,55
120.621250051166,-0.279828638662684,0.05209084,SDSS,120,-1,55
120.591321319628,-0.330671809785197,0.3555702,SDSS,120,-1,55
120.47635742094,-0.254391349812968,0.6800438,SDSS,120,-1,55
120.57366120254,-0.378810164817604,0.2859354,SDSS,120,-1,55
120.545518427732,-0.287122143038201,0.3573384,SDSS,120,-1,55
120.370946337151,-0.322637392122722,0.5687603,SDSS,120,-1,55
120.340631370701,-0.346630429295822,0.356488,SDSS,120,-1,55
120.326074127419,-0.258275703045552,0.6101964,SDSS,120,-1,55
120.322650849307,-0.353254512707895,0.356553,SDSS,120,-1,55
120.352481150649,-0.410640488930039,0.402643,SDSS,120,-1,55
120.336283577667,-0.283471087021602,0.05491782,SDSS,120,-1,55
120.252722600305,-0.284291463031661,0.3100906,SDSS,120,-1,55
120.233753590934,-0.288623770441347,0.6104183,SDSS,120,-1,55
120.290985068246,-0.336286120263625,0.4019703,SDSS,120,-1,55
120.236590934934,-0.356784368345343,0.4016752,SDSS,120,-1,55
120.21455798813,-0.406107489469456,0.1490823,SDSS,120,-1,55
120.197935049871,-0.373110593481029,0.3598299,SDSS,120,-1,55
120.164353145982,-0.271837262073912,0.6138543,SDSS,120,-1,55
120.126040557888,-0.310952116226194,0.4333796,SDSS,120,-1,55
120.092516579756,-0.390845980020747,0.6106337,SDSS,120,-1,55
120.067780577545,-0.296161886385603,0.3502079,SDSS,120,-1,55
120.022955895467,-0.374464705826443,0.5564747,SDSS,120,-1,55
119.890049332444,-0.336443050928835,0.4859758,SDSS,119,-1,17
119.950328388217,-0.31838061811945,0.4889229,SDSS,119,-1,17
119.919816611753,-0.312472435144607,0.3122884,SDSS,119,-1,17
119.905906720736,-0.345295476622283,0.4884937,SDSS,119,-1,17
119.953280474137,-0.36164516596518,0.4879457,SDSS,119,-1,17
119.841274252397,-0.301031657042821,0.4847252,SDSS,119,-1,17
119.79867031241,-0.280338966143504,0.3522927,SDSS,119,-1,17
86.1836304107512,1.31863812280928,0.05309878,SDSS,86,1,8
